State,Vehicle_Class,Month_Name,EV_Sales_Quantity,Year,Date
Andaman & Nicobar Island,Bus,JAN,0,2025,15-01-2025
Andaman & Nicobar Island,Bus,FEB,2,2025,15-02-2025
Andaman & Nicobar Island,Bus,MAR,0,2025,15-03-2025
Andaman & Nicobar Island,Bus,APR,0,2025,15-04-2025
Andaman & Nicobar Island,Bus,MAY,0,2025,15-05-2025
Andaman & Nicobar Island,Bus,JUN,0,2025,15-06-2025
Andaman & Nicobar Island,Bus,JUL,0,2025,15-07-2025
Andaman & Nicobar Island,Bus,AUG,0,2025,15-08-2025
Andaman & Nicobar Island,4-Wheelers,JAN,4,2025,15-01-2025
Andaman & Nicobar Island,4-Wheelers,FEB,1,2025,15-02-2025
Andaman & Nicobar Island,4-Wheelers,MAR,5,2025,15-03-2025
Andaman & Nicobar Island,4-Wheelers,APR,3,2025,15-04-2025
Andaman & Nicobar Island,4-Wheelers,MAY,3,2025,15-05-2025
Andaman & Nicobar Island,4-Wheelers,JUN,5,2025,15-06-2025
Andaman & Nicobar Island,4-Wheelers,JUL,7,2025,15-07-2025
Andaman & Nicobar Island,4-Wheelers,AUG,2,2025,15-08-2025
Andaman & Nicobar Island,4-Wheelers,JAN,0,2025,15-01-2025
Andaman & Nicobar Island,4-Wheelers,FEB,0,2025,15-02-2025
Andaman & Nicobar Island,4-Wheelers,MAR,2,2025,15-03-2025
Andaman & Nicobar Island,4-Wheelers,APR,0,2025,15-04-2025
Andaman & Nicobar Island,4-Wheelers,MAY,1,2025,15-05-2025
Andaman & Nicobar Island,4-Wheelers,JUN,0,2025,15-06-2025
Andaman & Nicobar Island,4-Wheelers,JUL,3,2025,15-07-2025
Andaman & Nicobar Island,4-Wheelers,AUG,4,2025,15-08-2025
Andaman & Nicobar Island,2-Wheelers,JAN,2,2025,15-01-2025
Andaman & Nicobar Island,2-Wheelers,FEB,0,2025,15-02-2025
Andaman & Nicobar Island,2-Wheelers,MAR,1,2025,15-03-2025
Andaman & Nicobar Island,2-Wheelers,APR,2,2025,15-04-2025
Andaman & Nicobar Island,2-Wheelers,MAY,6,2025,15-05-2025
Andaman & Nicobar Island,2-Wheelers,JUN,4,2025,15-06-2025
Andaman & Nicobar Island,2-Wheelers,JUL,4,2025,15-07-2025
Andaman & Nicobar Island,2-Wheelers,AUG,1,2025,15-08-2025
Andaman & Nicobar Island,2-Wheelers,JAN,0,2025,15-01-2025
Andaman & Nicobar Island,2-Wheelers,FEB,0,2025,15-02-2025
Andaman & Nicobar Island,2-Wheelers,MAR,0,2025,15-03-2025
Andaman & Nicobar Island,2-Wheelers,APR,0,2025,15-04-2025
Andaman & Nicobar Island,2-Wheelers,MAY,0,2025,15-05-2025
Andaman & Nicobar Island,2-Wheelers,JUN,0,2025,15-06-2025
Andaman & Nicobar Island,2-Wheelers,JUL,10,2025,15-07-2025
Andaman & Nicobar Island,2-Wheelers,AUG,5,2025,15-08-2025
Andhra Pradesh,4-Wheelers,JAN,0,2025,15-01-2025
Andhra Pradesh,4-Wheelers,FEB,0,2025,15-02-2025
Andhra Pradesh,4-Wheelers,MAR,0,2025,15-03-2025
Andhra Pradesh,4-Wheelers,APR,1,2025,15-04-2025
Andhra Pradesh,4-Wheelers,MAY,1,2025,15-05-2025
Andhra Pradesh,4-Wheelers,JUN,0,2025,15-06-2025
Andhra Pradesh,4-Wheelers,JUL,0,2025,15-07-2025
Andhra Pradesh,4-Wheelers,AUG,0,2025,15-08-2025
Andhra Pradesh,Others,JAN,0,2025,15-01-2025
Andhra Pradesh,Others,FEB,0,2025,15-02-2025
Andhra Pradesh,Others,MAR,2,2025,15-03-2025
Andhra Pradesh,Others,APR,0,2025,15-04-2025
Andhra Pradesh,Others,MAY,0,2025,15-05-2025
Andhra Pradesh,Others,JUN,0,2025,15-06-2025
Andhra Pradesh,Others,JUL,0,2025,15-07-2025
Andhra Pradesh,Others,AUG,1,2025,15-08-2025
Andhra Pradesh,Bus,JAN,0,2025,15-01-2025
Andhra Pradesh,Bus,FEB,0,2025,15-02-2025
Andhra Pradesh,Bus,MAR,0,2025,15-03-2025
Andhra Pradesh,Bus,APR,0,2025,15-04-2025
Andhra Pradesh,Bus,MAY,0,2025,15-05-2025
Andhra Pradesh,Bus,JUN,9,2025,15-06-2025
Andhra Pradesh,Bus,JUL,5,2025,15-07-2025
Andhra Pradesh,Bus,AUG,6,2025,15-08-2025
Andhra Pradesh,Others,JAN,1,2025,15-01-2025
Andhra Pradesh,Others,FEB,2,2025,15-02-2025
Andhra Pradesh,Others,MAR,6,2025,15-03-2025
Andhra Pradesh,Others,APR,8,2025,15-04-2025
Andhra Pradesh,Others,MAY,4,2025,15-05-2025
Andhra Pradesh,Others,JUN,9,2025,15-06-2025
Andhra Pradesh,Others,JUL,8,2025,15-07-2025
Andhra Pradesh,Others,AUG,5,2025,15-08-2025
Andhra Pradesh,4-Wheelers,JAN,312,2025,15-01-2025
Andhra Pradesh,4-Wheelers,FEB,347,2025,15-02-2025
Andhra Pradesh,4-Wheelers,MAR,361,2025,15-03-2025
Andhra Pradesh,4-Wheelers,APR,499,2025,15-04-2025
Andhra Pradesh,4-Wheelers,MAY,528,2025,15-05-2025
Andhra Pradesh,4-Wheelers,JUN,531,2025,15-06-2025
Andhra Pradesh,4-Wheelers,JUL,486,2025,15-07-2025
Andhra Pradesh,4-Wheelers,AUG,523,2025,15-08-2025
Andhra Pradesh,4-Wheelers,JAN,6,2025,15-01-2025
Andhra Pradesh,4-Wheelers,FEB,4,2025,15-02-2025
Andhra Pradesh,4-Wheelers,MAR,4,2025,15-03-2025
Andhra Pradesh,4-Wheelers,APR,3,2025,15-04-2025
Andhra Pradesh,4-Wheelers,MAY,2,2025,15-05-2025
Andhra Pradesh,4-Wheelers,JUN,2,2025,15-06-2025
Andhra Pradesh,4-Wheelers,JUL,3,2025,15-07-2025
Andhra Pradesh,4-Wheelers,AUG,0,2025,15-08-2025
Andhra Pradesh,Others,JAN,0,2025,15-01-2025
Andhra Pradesh,Others,FEB,0,2025,15-02-2025
Andhra Pradesh,Others,MAR,0,2025,15-03-2025
Andhra Pradesh,Others,APR,0,2025,15-04-2025
Andhra Pradesh,Others,MAY,0,2025,15-05-2025
Andhra Pradesh,Others,JUN,0,2025,15-06-2025
Andhra Pradesh,Others,JUL,0,2025,15-07-2025
Andhra Pradesh,Others,AUG,1,2025,15-08-2025
Andhra Pradesh,3-Wheelers,JAN,0,2025,15-01-2025
Andhra Pradesh,3-Wheelers,FEB,1,2025,15-02-2025
Andhra Pradesh,3-Wheelers,MAR,0,2025,15-03-2025
Andhra Pradesh,3-Wheelers,APR,0,2025,15-04-2025
Andhra Pradesh,3-Wheelers,MAY,0,2025,15-05-2025
Andhra Pradesh,3-Wheelers,JUN,0,2025,15-06-2025
Andhra Pradesh,3-Wheelers,JUL,0,2025,15-07-2025
Andhra Pradesh,3-Wheelers,AUG,0,2025,15-08-2025
Andhra Pradesh,3-Wheelers,JAN,4,2025,15-01-2025
Andhra Pradesh,3-Wheelers,FEB,16,2025,15-02-2025
Andhra Pradesh,3-Wheelers,MAR,83,2025,15-03-2025
