Date,State,Vehicle_Category,EV_Sales_Quantity
2021-01-01,Andhra Pradesh,2-Wheelers,31
2021-01-01,Andhra Pradesh,3-Wheelers,0
2021-01-01,Andhra Pradesh,4-Wheelers,5
2021-01-01,Andhra Pradesh,Bus,1
2021-01-01,Andhra Pradesh,Others,2
2021-01-01,Arunachal Pradesh,2-Wheelers,34
2021-01-01,Arunachal Pradesh,3-Wheelers,11
2021-01-01,Arunachal Pradesh,4-Wheelers,7
2021-01-01,Arunachal Pradesh,Bus,1
2021-01-01,Arunachal Pradesh,Others,0
2021-01-01,Assam,2-Wheelers,37
2021-01-01,Assam,3-Wheelers,17
2021-01-01,Assam,4-Wheelers,10
2021-01-01,Assam,Bus,0
2021-01-01,Assam,Others,3
2021-01-01,Bihar,2-Wheelers,25
2021-01-01,Bihar,3-Wheelers,16
2021-01-01,Bihar,4-Wheelers,0
2021-01-01,Bihar,Bus,0
2021-01-01,Bihar,Others,0
2021-01-01,Chandigarh,2-Wheelers,0
2021-01-01,Chandigarh,3-Wheelers,11
2021-01-01,Chandigarh,4-Wheelers,10
2021-01-01,Chandigarh,Bus,1
2021-01-01,Chandigarh,Others,0
2021-01-01,Chhattisgarh,2-Wheelers,39
2021-01-01,Chhattisgarh,3-Wheelers,6
2021-01-01,Chhattisgarh,4-Wheelers,0
2021-01-01,Chhattisgarh,Bus,0
2021-01-01,Chhattisgarh,Others,3
2021-01-01,Delhi,2-Wheelers,50
2021-01-01,Delhi,3-Wheelers,17
2021-01-01,Delhi,4-Wheelers,6
2021-01-01,Delhi,Bus,0
2021-01-01,Delhi,Others,8
2021-01-01,Goa,2-Wheelers,0
2021-01-01,Goa,3-Wheelers,0
2021-01-01,Goa,4-Wheelers,11
2021-01-01,Goa,Bus,1
2021-01-01,Goa,Others,2
2021-01-01,Gujarat,2-Wheelers,52
2021-01-01,Gujarat,3-Wheelers,10
2021-01-01,Gujarat,4-Wheelers,14
2021-01-01,Gujarat,Bus,1
2021-01-01,Gujarat,Others,0
2021-01-01,Haryana,2-Wheelers,34
2021-01-01,Haryana,3-Wheelers,7
2021-01-01,Haryana,4-Wheelers,5
2021-01-01,Haryana,Bus,0
2021-01-01,Haryana,Others,5
2021-01-01,Himachal Pradesh,2-Wheelers,0
2021-01-01,Himachal Pradesh,3-Wheelers,0
2021-01-01,Himachal Pradesh,4-Wheelers,0
2021-01-01,Himachal Pradesh,Bus,0
2021-01-01,Himachal Pradesh,Others,3
2021-01-01,Jharkhand,2-Wheelers,37
2021-01-01,Jharkhand,3-Wheelers,12
2021-01-01,Jharkhand,4-Wheelers,7
2021-01-01,Jharkhand,Bus,1
2021-01-01,Jharkhand,Others,2
2021-01-01,Karnataka,2-Wheelers,58
2021-01-01,Karnataka,3-Wheelers,29
2021-01-01,Karnataka,4-Wheelers,17
2021-01-01,Karnataka,Bus,1
2021-01-01,Karnataka,Others,0
2021-01-01,Kerala,2-Wheelers,21
2021-01-01,Kerala,3-Wheelers,0
2021-01-01,Kerala,4-Wheelers,10
2021-01-01,Kerala,Bus,0
2021-01-01,Kerala,Others,5
2021-01-01,Madhya Pradesh,2-Wheelers,41
2021-01-01,Madhya Pradesh,3-Wheelers,12
2021-01-01,Madhya Pradesh,4-Wheelers,10
2021-01-01,Madhya Pradesh,Bus,0
2021-01-01,Madhya Pradesh,Others,5
2021-01-01,Maharashtra,2-Wheelers,0
2021-01-01,Maharashtra,3-Wheelers,31
2021-01-01,Maharashtra,4-Wheelers,0
2021-01-01,Maharashtra,Bus,2
2021-01-01,Maharashtra,Others,4
2021-01-01,Manipur,2-Wheelers,47
2021-01-01,Manipur,3-Wheelers,8
2021-01-01,Manipur,4-Wheelers,0
2021-01-01,Manipur,Bus,0
2021-01-01,Manipur,Others,0
2021-01-01,Meghalaya,2-Wheelers,53
2021-01-01,Meghalaya,3-Wheelers,10
2021-01-01,Meghalaya,4-Wheelers,10
2021-01-01,Meghalaya,Bus,0
2021-01-01,Meghalaya,Others,0
2021-01-01,Mizoram,2-Wheelers,25
2021-01-01,Mizoram,3-Wheelers,15
2021-01-01,Mizoram,4-Wheelers,4
2021-01-01,Mizoram,Bus,1
2021-01-01,Mizoram,Others,2
2021-01-01,Nagaland,2-Wheelers,0
2021-01-01,Nagaland,3-Wheelers,0
2021-01-01,Nagaland,4-Wheelers,4
2021-01-01,Nagaland,Bus,1
2021-01-01,Nagaland,Others,2
2021-01-01,Odisha,2-Wheelers,46
2021-01-01,Odisha,3-Wheelers,9
2021-01-01,Odisha,4-Wheelers,0
2021-01-01,Odisha,Bus,0
2021-01-01,Odisha,Others,0
2021-01-01,Puducherry,2-Wheelers,29
2021-01-01,Puducherry,3-Wheelers,0
2021-01-01,Puducherry,4-Wheelers,0
2021-01-01,Puducherry,Bus,1
2021-01-01,Puducherry,Others,5
2021-01-01,Punjab,2-Wheelers,26
2021-01-01,Punjab,3-Wheelers,12
2021-01-01,Punjab,4-Wheelers,7
2021-01-01,Punjab,Bus,2
2021-01-01,Punjab,Others,4
2021-01-01,Rajasthan,2-Wheelers,38
2021-01-01,Rajasthan,3-Wheelers,12
