Date,EV_Sales_Quantity
2025-01-01,2.362914970394518e-07
2025-01-02,2.361483483129319e-07
2025-01-03,2.3553571472028433e-07
2025-01-04,2.385653331721058e-07
2025-01-05,1.854382319794871e-07
2025-01-06,1.7572272854972262e-07
2025-01-07,2.157661233245701e-07
2025-01-08,7.626851979055225e-09
2025-01-09,6.679121837765675e-09
2025-01-10,1.9700976265421456e-09
2025-01-11,6.098007110662541e-08
2025-01-12,2.429565645960766e-09
2025-01-13,7.152138927633484e-09
2025-01-14,1.333737216795641e-07
2025-01-15,1.167555605968042e-08
2025-01-16,2.1466899079721096e-07
2025-01-17,3.531072275533198e-09
2025-01-18,3.5551924468927233e-09
2025-01-19,2.1481910891118895e-07
2025-01-20,1.0423504115397024e-08
2025-01-21,3.1336393845029563e-09
2025-01-22,8.815804619674029e-08
2025-01-23,2.6141249569033756e-09
2025-01-24,9.054398565065866e-08
2025-01-25,9.019841003249892e-08
2025-01-26,2.652255863246578e-09
2025-01-27,3.5261850968035076e-09
2025-01-28,3.5254122003070536e-09
2025-01-29,5.3162004205453785e-09
2025-01-30,3.137181533214517e-09
2025-01-31,7.923926291207657e-10
2025-02-01,7.607364922827857e-10
2025-02-02,7.339390122061344e-10
2025-02-03,4.974376242490419e-10
2025-02-04,9.991389538559231e-10
2025-02-05,9.939057870340136e-10
2025-02-06,5.689955502408736e-10
2025-02-07,4.183594542782375e-09
2025-02-08,6.292367460720064e-09
2025-02-09,6.930469768981347e-09
2025-02-10,1.3934059860130058e-09
2025-02-11,6.900940797472455e-09
2025-02-12,7.993527500751037e-09
2025-02-13,1.3933926783076816e-09
2025-02-14,6.938300909612807e-09
2025-02-15,8.433161613023477e-10
2025-02-16,7.082823876001358e-09
2025-02-17,7.988684716010992e-09
2025-02-18,4.4786188271207055e-10
2025-02-19,6.188773285142835e-09
2025-02-20,1.0672774153637754e-08
2025-02-21,5.977740931727341e-10
2025-02-22,1.0907411404853431e-08
2025-02-23,5.977750856201726e-10
2025-02-24,5.977699181282565e-10
2025-02-25,1.0794679139952147e-08
2025-02-26,1.06776215464292e-08
2025-02-27,1.0236763312651296e-08
2025-02-28,9.90080492607855e-10
2025-03-01,6.734940418530072e-09
2025-03-02,8.374032508852902e-09
2025-03-03,8.344827821722273e-09
2025-03-04,5.047380105279382e-09
2025-03-05,5.044069889087964e-09
2025-03-06,5.044175039913808e-09
2025-03-07,8.373957435290499e-09
2025-03-08,5.084732933413072e-09
2025-03-09,6.592337726732333e-09
2025-03-10,5.963693819209265e-10
2025-03-11,9.861110718484594e-10
2025-03-12,5.044170364089146e-09
2025-03-13,5.963693819209265e-10
2025-03-14,5.968330107542884e-10
2025-03-15,5.097851835442835e-09
2025-03-16,5.968330107542884e-10
2025-03-17,8.3459771436395e-09
2025-03-18,1.0001048810459044e-09
2025-03-19,6.04832403560575e-10
2025-03-20,8.471672337087891e-09
2025-03-21,7.684828585460192e-10
2025-03-22,6.067026764802949e-10
2025-03-23,8.522011303696858e-09
2025-03-24,6.048433654387064e-10
2025-03-25,8.467074743320408e-09
2025-03-26,9.006022536964478e-09
2025-03-27,6.047721295255756e-10
2025-03-28,1.000069601958462e-09
2025-03-29,1.0031516966364935e-09
2025-03-30,5.4633750840419864e-09
2025-03-31,1.043844868983643e-09
